n_estimators,max_depth,criterion,accuracy,precision,recall,f1,preparationTime
300,100,gini,0.7651209677419355,0.8141414141414142,0.7013888888888888,0.748705694942254,0.0012407960957523058
500,100,gini,0.7543682795698925,0.7888888888888889,0.7013888888888888,0.7398873527905786,0.0012407960957523058
10,300,gini,0.6922043010752689,0.7845117845117845,0.5305555555555556,0.6318342151675486,0.0012407960957523058
50,300,gini,0.7338709677419355,0.7957042957042958,0.6375000000000001,0.7056437389770722,0.0012407960957523058
100,300,gini,0.7335349462365591,0.7928737928737929,0.6388888888888888,0.7049808429118775,0.0012407960957523058
300,300,gini,0.7123655913978495,0.7727272727272728,0.6180555555555555,0.6825396825396824,0.0012407960957523058
500,300,gini,0.7016129032258064,0.75,0.6180555555555555,0.6746031746031745,0.0012407960957523058
10,300,gini,0.6488575268817204,0.6975524475524475,0.5333333333333333,0.6036611323967646,0.0012407960957523058
50,300,gini,0.7765456989247311,0.8628593628593628,0.6597222222222222,0.746700723712218,0.0012407960957523058
100,300,gini,0.7338709677419355,0.815873015873016,0.6180555555555555,0.6987495263357332,0.0012407960957523058
300,300,gini,0.7335349462365591,0.7839452214452214,0.6611111111111111,0.7116549252255592,0.0012407960957523058
500,300,gini,0.7231182795698925,0.7777777777777778,0.6388888888888888,0.6984126984126985,0.0012407960957523058
10,300,gini,0.7127016129032259,0.752991452991453,0.6375000000000001,0.6889400921658986,0.0012407960957523058
50,300,gini,0.7547043010752689,0.7985347985347985,0.6791666666666667,0.7338259441707717,0.0012407960957523058
100,300,gini,0.7224462365591399,0.7727272727272728,0.6375000000000001,0.6957854406130268,0.0012407960957523058
300,300,gini,0.7651209677419355,0.8329448329448329,0.6805555555555555,0.744997871434653,0.0012407960957523058
500,300,gini,0.7543682795698925,0.8076923076923076,0.6805555555555555,0.7361795292829775,0.0012407960957523058
10,300,gini,0.7345430107526881,0.8214285714285715,0.6180555555555555,0.700581028167235,0.0012407960957523058
50,300,gini,0.7547043010752689,0.8089285714285714,0.6805555555555555,0.7314876215738284,0.0012407960957523058
100,300,gini,0.7755376344086021,0.8297619047619048,0.7013888888888888,0.7523209549071618,0.0012407960957523058
