criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
gini,10,2,2,log2,0.65,0.4895238095238096,0.4288888888888889,0.4519298245614035,0.0010869943499999732
gini,10,5,2,log2,0.6428571428571429,0.4666666666666666,0.3244444444444444,0.3662155388471178,0.0010869943499999732
gini,10,10,2,log2,0.6785714285714286,0.5382478632478632,0.45111111111111113,0.46889270859859095,0.0010869943499999732
gini,10,2,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,10,5,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,10,10,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,10,2,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,10,5,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,10,10,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,30,2,1,None,0.7142857142857142,0.5952380952380952,0.5377777777777778,0.5451779064028357,0.0010869943499999732
gini,30,5,1,None,0.7142857142857142,0.5992857142857142,0.5377777777777778,0.544790418074171,0.0010869943499999732
gini,30,10,1,None,0.7214285714285715,0.6074242424242424,0.5822222222222222,0.5727777777777778,0.0010869943499999732
gini,30,2,2,None,0.7285714285714286,0.6611111111111112,0.45777777777777773,0.5008547008547009,0.0010869943499999732
gini,30,5,2,None,0.7357142857142857,0.7020634920634922,0.4955555555555556,0.5451554980966745,0.0010869943499999732
gini,30,10,2,None,0.7428571428571429,0.700952380952381,0.5422222222222223,0.5660872498973185,0.0010869943499999732
gini,30,2,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,30,5,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,30,10,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,30,2,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,30,5,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,30,10,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,30,2,1,sqrt,0.7785714285714286,0.6697435897435897,0.6844444444444444,0.6651036682615631,0.0010869943499999732
gini,30,5,1,sqrt,0.7714285714285715,0.6795238095238096,0.6399999999999999,0.6504987960096318,0.0010869943499999732
gini,30,10,1,sqrt,0.7357142857142857,0.6323015873015873,0.6599999999999999,0.6285339983946795,0.0010869943499999732
gini,30,2,2,sqrt,0.7571428571428571,0.650974025974026,0.5822222222222222,0.595966386554622,0.0010869943499999732
gini,30,5,2,sqrt,0.75,0.6487012987012987,0.5155555555555555,0.5594957983193278,0.0010869943499999732
gini,30,10,2,sqrt,0.6928571428571428,0.57,0.5555555555555556,0.5382541320621816,0.0010869943499999732
gini,30,2,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,30,5,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,30,10,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,30,2,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,30,5,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,30,10,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,30,2,1,log2,0.6857142857142857,0.5496392496392497,0.49111111111111116,0.5105263157894736,0.0010869943499999732
gini,30,5,1,log2,0.6857142857142857,0.5547619047619048,0.5111111111111112,0.5227408354646206,0.0010869943499999732
gini,30,10,1,log2,0.7,0.5843589743589744,0.5533333333333333,0.5540271132376395,0.0010869943499999732
gini,30,2,2,log2,0.6642857142857143,0.5145238095238096,0.4288888888888889,0.4643137254901961,0.0010869943499999732
gini,30,5,2,log2,0.6571428571428571,0.4916666666666666,0.3244444444444444,0.3785994397759104,0.0010869943499999732
gini,30,10,2,log2,0.6785714285714286,0.5382478632478632,0.45111111111111113,0.46889270859859095,0.0010869943499999732
gini,30,2,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,30,5,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,30,10,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,30,2,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,30,5,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,30,10,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,50,2,1,None,0.7142857142857142,0.5952380952380952,0.5377777777777778,0.5451779064028357,0.0010869943499999732
gini,50,5,1,None,0.7142857142857142,0.5992857142857142,0.5377777777777778,0.544790418074171,0.0010869943499999732
gini,50,10,1,None,0.7214285714285715,0.6074242424242424,0.5822222222222222,0.5727777777777778,0.0010869943499999732
gini,50,2,2,None,0.7285714285714286,0.6611111111111112,0.45777777777777773,0.5008547008547009,0.0010869943499999732
gini,50,5,2,None,0.7357142857142857,0.7020634920634922,0.4955555555555556,0.5451554980966745,0.0010869943499999732
gini,50,10,2,None,0.7428571428571429,0.700952380952381,0.5422222222222223,0.5660872498973185,0.0010869943499999732
gini,50,2,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,50,5,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,50,10,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,50,2,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,50,5,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,50,10,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,50,2,1,sqrt,0.7785714285714286,0.6697435897435897,0.6844444444444444,0.6651036682615631,0.0010869943499999732
gini,50,5,1,sqrt,0.7714285714285715,0.6795238095238096,0.6399999999999999,0.6504987960096318,0.0010869943499999732
gini,50,10,1,sqrt,0.7357142857142857,0.6323015873015873,0.6599999999999999,0.6285339983946795,0.0010869943499999732
gini,50,2,2,sqrt,0.7571428571428571,0.650974025974026,0.5822222222222222,0.595966386554622,0.0010869943499999732
gini,50,5,2,sqrt,0.75,0.6487012987012987,0.5155555555555555,0.5594957983193278,0.0010869943499999732
gini,50,10,2,sqrt,0.6928571428571428,0.57,0.5555555555555556,0.5382541320621816,0.0010869943499999732
gini,50,2,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,50,5,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,50,10,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,50,2,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,50,5,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,50,10,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,50,2,1,log2,0.6857142857142857,0.5496392496392497,0.49111111111111116,0.5105263157894736,0.0010869943499999732
gini,50,5,1,log2,0.6857142857142857,0.5547619047619048,0.5111111111111112,0.5227408354646206,0.0010869943499999732
gini,50,10,1,log2,0.7,0.5843589743589744,0.5533333333333333,0.5540271132376395,0.0010869943499999732
gini,50,2,2,log2,0.6642857142857143,0.5145238095238096,0.4288888888888889,0.4643137254901961,0.0010869943499999732
gini,50,5,2,log2,0.6571428571428571,0.4916666666666666,0.3244444444444444,0.3785994397759104,0.0010869943499999732
gini,50,10,2,log2,0.6785714285714286,0.5382478632478632,0.45111111111111113,0.46889270859859095,0.0010869943499999732
gini,50,2,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,50,5,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,50,10,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,50,2,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,50,5,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,50,10,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,100,2,1,None,0.7142857142857142,0.5952380952380952,0.5377777777777778,0.5451779064028357,0.0010869943499999732
gini,100,5,1,None,0.7142857142857142,0.5992857142857142,0.5377777777777778,0.544790418074171,0.0010869943499999732
gini,100,10,1,None,0.7214285714285715,0.6074242424242424,0.5822222222222222,0.5727777777777778,0.0010869943499999732
gini,100,2,2,None,0.7285714285714286,0.6611111111111112,0.45777777777777773,0.5008547008547009,0.0010869943499999732
gini,100,5,2,None,0.7357142857142857,0.7020634920634922,0.4955555555555556,0.5451554980966745,0.0010869943499999732
gini,100,10,2,None,0.7428571428571429,0.700952380952381,0.5422222222222223,0.5660872498973185,0.0010869943499999732
gini,100,2,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,100,5,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,100,10,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,100,2,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,100,5,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,100,10,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,100,2,1,sqrt,0.7785714285714286,0.6697435897435897,0.6844444444444444,0.6651036682615631,0.0010869943499999732
gini,100,5,1,sqrt,0.7714285714285715,0.6795238095238096,0.6399999999999999,0.6504987960096318,0.0010869943499999732
gini,100,10,1,sqrt,0.7357142857142857,0.6323015873015873,0.6599999999999999,0.6285339983946795,0.0010869943499999732
gini,100,2,2,sqrt,0.7571428571428571,0.650974025974026,0.5822222222222222,0.595966386554622,0.0010869943499999732
gini,100,5,2,sqrt,0.75,0.6487012987012987,0.5155555555555555,0.5594957983193278,0.0010869943499999732
gini,100,10,2,sqrt,0.6928571428571428,0.57,0.5555555555555556,0.5382541320621816,0.0010869943499999732
gini,100,2,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,100,5,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,100,10,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,100,2,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,100,5,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,100,10,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,100,2,1,log2,0.6857142857142857,0.5496392496392497,0.49111111111111116,0.5105263157894736,0.0010869943499999732
gini,100,5,1,log2,0.6857142857142857,0.5547619047619048,0.5111111111111112,0.5227408354646206,0.0010869943499999732
gini,100,10,1,log2,0.7,0.5843589743589744,0.5533333333333333,0.5540271132376395,0.0010869943499999732
gini,100,2,2,log2,0.6642857142857143,0.5145238095238096,0.4288888888888889,0.4643137254901961,0.0010869943499999732
gini,100,5,2,log2,0.6571428571428571,0.4916666666666666,0.3244444444444444,0.3785994397759104,0.0010869943499999732
gini,100,10,2,log2,0.6785714285714286,0.5382478632478632,0.45111111111111113,0.46889270859859095,0.0010869943499999732
gini,100,2,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,100,5,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,100,10,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,100,2,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,100,5,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,100,10,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,300,2,1,None,0.7142857142857142,0.5952380952380952,0.5377777777777778,0.5451779064028357,0.0010869943499999732
gini,300,5,1,None,0.7142857142857142,0.5992857142857142,0.5377777777777778,0.544790418074171,0.0010869943499999732
gini,300,10,1,None,0.7214285714285715,0.6074242424242424,0.5822222222222222,0.5727777777777778,0.0010869943499999732
gini,300,2,2,None,0.7285714285714286,0.6611111111111112,0.45777777777777773,0.5008547008547009,0.0010869943499999732
gini,300,5,2,None,0.7357142857142857,0.7020634920634922,0.4955555555555556,0.5451554980966745,0.0010869943499999732
gini,300,10,2,None,0.7428571428571429,0.700952380952381,0.5422222222222223,0.5660872498973185,0.0010869943499999732
gini,300,2,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,300,5,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,300,10,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,300,2,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,300,5,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,300,10,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,300,2,1,sqrt,0.7785714285714286,0.6697435897435897,0.6844444444444444,0.6651036682615631,0.0010869943499999732
gini,300,5,1,sqrt,0.7714285714285715,0.6795238095238096,0.6399999999999999,0.6504987960096318,0.0010869943499999732
gini,300,10,1,sqrt,0.7357142857142857,0.6323015873015873,0.6599999999999999,0.6285339983946795,0.0010869943499999732
gini,300,2,2,sqrt,0.7571428571428571,0.650974025974026,0.5822222222222222,0.595966386554622,0.0010869943499999732
gini,300,5,2,sqrt,0.75,0.6487012987012987,0.5155555555555555,0.5594957983193278,0.0010869943499999732
gini,300,10,2,sqrt,0.6928571428571428,0.57,0.5555555555555556,0.5382541320621816,0.0010869943499999732
gini,300,2,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,300,5,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,300,10,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,300,2,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,300,5,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,300,10,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,300,2,1,log2,0.6857142857142857,0.5496392496392497,0.49111111111111116,0.5105263157894736,0.0010869943499999732
gini,300,5,1,log2,0.6857142857142857,0.5547619047619048,0.5111111111111112,0.5227408354646206,0.0010869943499999732
gini,300,10,1,log2,0.7,0.5843589743589744,0.5533333333333333,0.5540271132376395,0.0010869943499999732
gini,300,2,2,log2,0.6642857142857143,0.5145238095238096,0.4288888888888889,0.4643137254901961,0.0010869943499999732
gini,300,5,2,log2,0.6571428571428571,0.4916666666666666,0.3244444444444444,0.3785994397759104,0.0010869943499999732
gini,300,10,2,log2,0.6785714285714286,0.5382478632478632,0.45111111111111113,0.46889270859859095,0.0010869943499999732
gini,300,2,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,300,5,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,300,10,5,log2,0.7285714285714286,0.6082539682539683,0.5511111111111111,0.5740213278293773,0.0010869943499999732
gini,300,2,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,300,5,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,300,10,10,log2,0.6642857142857144,0.5472527472527472,0.508888888888889,0.510898628225994,0.0010869943499999732
gini,500,2,1,None,0.7142857142857142,0.5952380952380952,0.5377777777777778,0.5451779064028357,0.0010869943499999732
gini,500,5,1,None,0.7142857142857142,0.5992857142857142,0.5377777777777778,0.544790418074171,0.0010869943499999732
gini,500,10,1,None,0.7214285714285715,0.6074242424242424,0.5822222222222222,0.5727777777777778,0.0010869943499999732
gini,500,2,2,None,0.7285714285714286,0.6611111111111112,0.45777777777777773,0.5008547008547009,0.0010869943499999732
gini,500,5,2,None,0.7357142857142857,0.7020634920634922,0.4955555555555556,0.5451554980966745,0.0010869943499999732
gini,500,10,2,None,0.7428571428571429,0.700952380952381,0.5422222222222223,0.5660872498973185,0.0010869943499999732
gini,500,2,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,500,5,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,500,10,5,None,0.7928571428571428,0.7166666666666667,0.6644444444444444,0.6793859649122806,0.0010869943499999732
gini,500,2,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,500,5,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,500,10,10,None,0.7357142857142858,0.686401833460657,0.5666666666666667,0.557912087912088,0.0010869943499999732
gini,500,2,1,sqrt,0.7785714285714286,0.6697435897435897,0.6844444444444444,0.6651036682615631,0.0010869943499999732
gini,500,5,1,sqrt,0.7714285714285715,0.6795238095238096,0.6399999999999999,0.6504987960096318,0.0010869943499999732
gini,500,10,1,sqrt,0.7357142857142857,0.6323015873015873,0.6599999999999999,0.6285339983946795,0.0010869943499999732
gini,500,2,2,sqrt,0.7571428571428571,0.650974025974026,0.5822222222222222,0.595966386554622,0.0010869943499999732
gini,500,5,2,sqrt,0.75,0.6487012987012987,0.5155555555555555,0.5594957983193278,0.0010869943499999732
gini,500,10,2,sqrt,0.6928571428571428,0.57,0.5555555555555556,0.5382541320621816,0.0010869943499999732
gini,500,2,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,500,5,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,500,10,5,sqrt,0.6285714285714286,0.4318181818181818,0.5199999999999999,0.4523531049846839,0.0010869943499999732
gini,500,2,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,500,5,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,500,10,10,sqrt,0.7285714285714285,0.6466666666666667,0.5355555555555556,0.5595238095238095,0.0010869943499999732
gini,500,2,1,log2,0.6857142857142857,0.5496392496392497,0.49111111111111116,0.5105263157894736,0.0010869943499999732
