dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,threshold,accuracy,precision,recall,f1,mcc
10,10,2,gini,sqrt,2,0.5,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
10,10,2,gini,sqrt,3,0.5,0.8620689655172413,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6168743975838902
10,10,2,gini,sqrt,4,0.5,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
10,10,2,gini,sqrt,5,0.5,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
10,10,2,gini,log2,1,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
10,10,2,gini,log2,2,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
10,10,2,gini,log2,3,0.5,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
10,10,2,gini,log2,4,0.5,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
10,10,2,gini,log2,5,0.5,0.8596491228070176,0.6,0.3333333333333333,0.42857142857142855,0.37596030887070225
10,10,2,entropy,,1,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
10,10,2,entropy,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
10,10,2,entropy,,3,0.5,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
10,10,2,entropy,,4,0.5,1.0,1.0,1.0,1.0,1.0
10,10,2,entropy,,5,0.5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
10,10,2,entropy,sqrt,1,0.5,0.8793103448275862,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47986979066128105
10,10,2,entropy,sqrt,2,0.5,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
10,10,2,entropy,sqrt,3,0.5,0.8448275862068966,0.5,0.4444444444444444,0.47058823529411764,0.38095238095238093
10,10,2,entropy,sqrt,4,0.5,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
10,10,2,entropy,sqrt,5,0.5,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
10,10,2,entropy,log2,1,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
10,10,2,entropy,log2,2,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
10,10,2,entropy,log2,3,0.5,0.8793103448275862,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47986979066128105
10,10,2,entropy,log2,4,0.5,0.8421052631578947,0.5,0.1111111111111111,0.18181818181818182,0.17890661183303358
10,10,2,entropy,log2,5,0.5,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
10,10,5,gini,,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
10,10,5,gini,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
10,10,5,gini,,3,0.5,0.8793103448275862,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6484956234299488
10,10,5,gini,,4,0.5,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
10,10,5,gini,,5,0.5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
10,10,5,gini,sqrt,1,0.5,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
10,10,5,gini,sqrt,2,0.5,0.7413793103448276,0.2,0.2222222222222222,0.21052631578947367,0.05651105752037428
10,10,5,gini,sqrt,3,0.5,0.8448275862068966,0.5,0.7777777777777778,0.6086956521739131,0.5372153093502535
10,10,5,gini,sqrt,4,0.5,0.8245614035087719,0.42857142857142855,0.3333333333333333,0.375,0.27774602993176545
10,10,5,gini,sqrt,5,0.5,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
10,10,5,gini,log2,1,0.5,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
10,10,5,gini,log2,2,0.5,0.7931034482758621,0.0,0.0,0.0,-0.10009272139219581
10,10,5,gini,log2,3,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
10,10,5,gini,log2,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
10,10,5,gini,log2,5,0.5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
10,10,5,entropy,,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
10,10,5,entropy,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
10,10,5,entropy,,3,0.5,0.8620689655172413,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.568984734861607
10,10,5,entropy,,4,0.5,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
10,10,5,entropy,,5,0.5,0.9298245614035088,0.7272727272727273,0.8888888888888888,0.8,0.7635739159797762
10,10,5,entropy,sqrt,1,0.5,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
10,10,5,entropy,sqrt,2,0.5,0.7413793103448276,0.2,0.2222222222222222,0.21052631578947367,0.05651105752037428
10,10,5,entropy,sqrt,3,0.5,0.8275862068965517,0.42857142857142855,0.3333333333333333,0.375,0.27974966555605196
10,10,5,entropy,sqrt,4,0.5,0.8245614035087719,0.42857142857142855,0.3333333333333333,0.375,0.27774602993176545
10,10,5,entropy,sqrt,5,0.5,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
10,10,5,entropy,log2,1,0.5,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
10,10,5,entropy,log2,2,0.5,0.7931034482758621,0.0,0.0,0.0,-0.10009272139219581
10,10,5,entropy,log2,3,0.5,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
10,10,5,entropy,log2,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
10,10,5,entropy,log2,5,0.5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
20,5,2,gini,,1,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
20,5,2,gini,,2,0.5,0.9827586206896551,0.9,1.0,0.9473684210526315,0.9389529557231419
20,5,2,gini,,3,0.5,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
20,5,2,gini,,4,0.5,1.0,1.0,1.0,1.0,1.0
20,5,2,gini,,5,0.5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,5,2,gini,sqrt,1,0.5,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
20,5,2,gini,sqrt,2,0.5,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
20,5,2,gini,sqrt,3,0.5,0.8793103448275862,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6484956234299488
20,5,2,gini,sqrt,4,0.5,0.8421052631578947,0.5,0.3333333333333333,0.4,0.32179795146741913
20,5,2,gini,sqrt,5,0.5,0.9298245614035088,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7361111111111112
20,5,2,gini,log2,1,0.5,0.8448275862068966,0.5,0.6666666666666666,0.5714285714285714,0.4864323032907135
20,5,2,gini,log2,2,0.5,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
20,5,2,gini,log2,3,0.5,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,5,2,gini,log2,4,0.5,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
20,5,2,gini,log2,5,0.5,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
20,5,2,entropy,,1,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
20,5,2,entropy,,2,0.5,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
20,5,2,entropy,,3,0.5,0.9137931034482759,0.6428571428571429,1.0,0.782608695652174,0.7597759375096442
20,5,2,entropy,,4,0.5,1.0,1.0,1.0,1.0,1.0
20,5,2,entropy,,5,0.5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,5,2,entropy,sqrt,1,0.5,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
20,5,2,entropy,sqrt,2,0.5,0.9137931034482759,0.6428571428571429,1.0,0.782608695652174,0.7597759375096442
20,5,2,entropy,sqrt,3,0.5,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
20,5,2,entropy,sqrt,4,0.5,0.9122807017543859,0.7,0.7777777777777778,0.7368421052631579,0.6857529381625583
20,5,2,entropy,sqrt,5,0.5,0.9122807017543859,0.7,0.7777777777777778,0.7368421052631579,0.6857529381625583
20,5,2,entropy,log2,1,0.5,0.8448275862068966,0.5,0.6666666666666666,0.5714285714285714,0.4864323032907135
20,5,2,entropy,log2,2,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
20,5,2,entropy,log2,3,0.5,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
20,5,2,entropy,log2,4,0.5,0.8421052631578947,0.5,0.1111111111111111,0.18181818181818182,0.17890661183303358
20,5,2,entropy,log2,5,0.5,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
20,5,5,gini,,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,5,5,gini,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,5,5,gini,,3,0.5,0.8793103448275862,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6484956234299488
20,5,5,gini,,4,0.5,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
20,5,5,gini,,5,0.5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
20,5,5,gini,sqrt,1,0.5,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
20,5,5,gini,sqrt,2,0.5,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
20,5,5,gini,sqrt,3,0.5,0.8448275862068966,0.5,0.7777777777777778,0.6086956521739131,0.5372153093502535
20,5,5,gini,sqrt,4,0.5,0.8245614035087719,0.42857142857142855,0.3333333333333333,0.375,0.27774602993176545
20,5,5,gini,sqrt,5,0.5,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
20,5,5,gini,log2,1,0.5,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
20,5,5,gini,log2,2,0.5,0.7931034482758621,0.0,0.0,0.0,-0.10009272139219581
20,5,5,gini,log2,3,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
20,5,5,gini,log2,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
20,5,5,gini,log2,5,0.5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
20,5,5,entropy,,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,5,5,entropy,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,5,5,entropy,,3,0.5,0.8620689655172413,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.568984734861607
20,5,5,entropy,,4,0.5,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
20,5,5,entropy,,5,0.5,0.9298245614035088,0.7272727272727273,0.8888888888888888,0.8,0.7635739159797762
20,5,5,entropy,sqrt,1,0.5,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
20,5,5,entropy,sqrt,2,0.5,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
20,5,5,entropy,sqrt,3,0.5,0.8275862068965517,0.42857142857142855,0.3333333333333333,0.375,0.27974966555605196
20,5,5,entropy,sqrt,4,0.5,0.8245614035087719,0.42857142857142855,0.3333333333333333,0.375,0.27774602993176545
20,5,5,entropy,sqrt,5,0.5,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
20,5,5,entropy,log2,1,0.5,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
20,5,5,entropy,log2,2,0.5,0.7931034482758621,0.0,0.0,0.0,-0.10009272139219581
20,5,5,entropy,log2,3,0.5,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
20,5,5,entropy,log2,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
20,5,5,entropy,log2,5,0.5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
20,10,2,gini,,1,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
20,10,2,gini,,2,0.5,0.9827586206896551,0.9,1.0,0.9473684210526315,0.9389529557231419
20,10,2,gini,,3,0.5,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
20,10,2,gini,,4,0.5,1.0,1.0,1.0,1.0,1.0
20,10,2,gini,,5,0.5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,10,2,gini,sqrt,1,0.5,0.8620689655172413,0.6,0.3333333333333333,0.42857142857142855,0.37735271462657
20,10,2,gini,sqrt,2,0.5,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
20,10,2,gini,sqrt,3,0.5,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
20,10,2,gini,sqrt,4,0.5,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
20,10,2,gini,sqrt,5,0.5,0.9298245614035088,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7361111111111112
20,10,2,gini,log2,1,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
20,10,2,gini,log2,2,0.5,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
20,10,2,gini,log2,3,0.5,0.8620689655172413,0.5714285714285714,0.4444444444444444,0.5,0.4259251664772323
20,10,2,gini,log2,4,0.5,0.8771929824561403,0.625,0.5555555555555556,0.5882352941176471,0.5176005111238263
20,10,2,gini,log2,5,0.5,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
20,10,2,entropy,,1,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
20,10,2,entropy,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,10,2,entropy,,3,0.5,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
20,10,2,entropy,,4,0.5,1.0,1.0,1.0,1.0,1.0
20,10,2,entropy,,5,0.5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,10,2,entropy,sqrt,1,0.5,0.8793103448275862,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47986979066128105
20,10,2,entropy,sqrt,2,0.5,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
20,10,2,entropy,sqrt,3,0.5,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
20,10,2,entropy,sqrt,4,0.5,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
20,10,2,entropy,sqrt,5,0.5,0.9298245614035088,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7361111111111112
20,10,2,entropy,log2,1,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
20,10,2,entropy,log2,2,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
20,10,2,entropy,log2,3,0.5,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
20,10,2,entropy,log2,4,0.5,0.8421052631578947,0.5,0.1111111111111111,0.18181818181818182,0.17890661183303358
20,10,2,entropy,log2,5,0.5,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
20,10,5,gini,,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,10,5,gini,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,10,5,gini,,3,0.5,0.8793103448275862,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6484956234299488
20,10,5,gini,,4,0.5,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
20,10,5,gini,,5,0.5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
20,10,5,gini,sqrt,1,0.5,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
20,10,5,gini,sqrt,2,0.5,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
20,10,5,gini,sqrt,3,0.5,0.8448275862068966,0.5,0.7777777777777778,0.6086956521739131,0.5372153093502535
20,10,5,gini,sqrt,4,0.5,0.8245614035087719,0.42857142857142855,0.3333333333333333,0.375,0.27774602993176545
20,10,5,gini,sqrt,5,0.5,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
20,10,5,gini,log2,1,0.5,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
20,10,5,gini,log2,2,0.5,0.7931034482758621,0.0,0.0,0.0,-0.10009272139219581
20,10,5,gini,log2,3,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
20,10,5,gini,log2,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
20,10,5,gini,log2,5,0.5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
20,10,5,entropy,,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
20,10,5,entropy,,2,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
20,10,5,entropy,,3,0.5,0.8620689655172413,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.568984734861607
20,10,5,entropy,,4,0.5,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
20,10,5,entropy,,5,0.5,0.9298245614035088,0.7272727272727273,0.8888888888888888,0.8,0.7635739159797762
20,10,5,entropy,sqrt,1,0.5,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
20,10,5,entropy,sqrt,2,0.5,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
20,10,5,entropy,sqrt,3,0.5,0.8275862068965517,0.42857142857142855,0.3333333333333333,0.375,0.27974966555605196
20,10,5,entropy,sqrt,4,0.5,0.8245614035087719,0.42857142857142855,0.3333333333333333,0.375,0.27774602993176545
20,10,5,entropy,sqrt,5,0.5,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
20,10,5,entropy,log2,1,0.5,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
20,10,5,entropy,log2,2,0.5,0.7931034482758621,0.0,0.0,0.0,-0.10009272139219581
20,10,5,entropy,log2,3,0.5,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
20,10,5,entropy,log2,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
20,10,5,entropy,log2,5,0.5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
30,5,2,gini,,1,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
30,5,2,gini,,2,0.5,0.9827586206896551,0.9,1.0,0.9473684210526315,0.9389529557231419
30,5,2,gini,,3,0.5,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
30,5,2,gini,,4,0.5,1.0,1.0,1.0,1.0,1.0
30,5,2,gini,,5,0.5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
