fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.5789473684210527,0.5555555555555556,1.0,0.7142857142857143,0.24845199749997662
1,0.2,0.5789473684210527,0.5714285714285714,0.8,0.6666666666666666,0.15118578920369088
1,0.30000000000000004,0.5789473684210527,0.5833333333333334,0.7,0.6363636363636364,0.14951420452417674
1,0.4,0.631578947368421,0.6666666666666666,0.6,0.631578947368421,0.26666666666666666
1,0.5,0.6842105263157895,0.8333333333333334,0.5,0.625,0.41773367652300253
1,0.6,0.6842105263157895,1.0,0.4,0.5714285714285714,0.4898979485566356
1,0.7000000000000001,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
1,0.8,0.5789473684210527,1.0,0.2,0.3333333333333333,0.32539568672798425
1,0.9,0.5263157894736842,1.0,0.1,0.18181818181818182,0.22360679774997896
2,0.1,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.0
2,0.2,0.631578947368421,0.6153846153846154,0.8,0.6956521739130435,0.26257545381445874
2,0.30000000000000004,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947
2,0.4,0.7894736842105263,0.875,0.7,0.7777777777777778,0.5955432118425306
2,0.5,0.8421052631578947,1.0,0.7,0.8235294117647058,0.724568837309472
2,0.6,0.8421052631578947,1.0,0.7,0.8235294117647058,0.724568837309472
2,0.7000000000000001,0.7368421052631579,1.0,0.5,0.6666666666666666,0.5669467095138409
2,0.8,0.7368421052631579,1.0,0.5,0.6666666666666666,0.5669467095138409
2,0.9,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
3,0.1,0.5789473684210527,0.5294117647058824,1.0,0.6923076923076923,0.32539568672798425
3,0.2,0.631578947368421,0.5625,1.0,0.72,0.4107919181288746
3,0.30000000000000004,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
3,0.4,0.7368421052631579,0.7,0.7777777777777778,0.7368421052631579,0.4777777777777778
3,0.5,0.7894736842105263,1.0,0.5555555555555556,0.7142857142857143,0.629940788348712
3,0.6,0.7894736842105263,1.0,0.5555555555555556,0.7142857142857143,0.629940788348712
3,0.7000000000000001,0.6842105263157895,1.0,0.3333333333333333,0.5,0.45643546458763845
3,0.8,0.631578947368421,1.0,0.2222222222222222,0.36363636363636365,0.3615507630310936
3,0.9,0.5789473684210527,1.0,0.1111111111111111,0.2,0.24845199749997662
4,0.1,0.631578947368421,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.2875273163926476
4,0.2,0.7894736842105263,0.8571428571428571,0.6666666666666666,0.75,0.5865557254410011
4,0.30000000000000004,0.7894736842105263,0.8571428571428571,0.6666666666666666,0.75,0.5865557254410011
4,0.4,0.7894736842105263,0.8571428571428571,0.6666666666666666,0.75,0.5865557254410011
4,0.5,0.8421052631578947,1.0,0.6666666666666666,0.8,0.7161148740394329
4,0.6,0.7894736842105263,1.0,0.5555555555555556,0.7142857142857143,0.629940788348712
4,0.7000000000000001,0.7894736842105263,1.0,0.5555555555555556,0.7142857142857143,0.629940788348712
4,0.8,0.7368421052631579,1.0,0.4444444444444444,0.6153846153846154,0.5443310539518174
4,0.9,0.6842105263157895,1.0,0.3333333333333333,0.5,0.45643546458763845
5,0.1,0.5,0.5,1.0,0.6666666666666666,0.0
5,0.2,0.5555555555555556,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.14907119849998599
5,0.30000000000000004,0.6111111111111112,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.2357022603955158
5,0.4,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579,0.4472135954999579
5,0.5,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625,0.34188172937891387
5,0.6,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.4714045207910316
5,0.7000000000000001,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.4714045207910316
5,0.8,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.6201736729460423
5,0.9,0.5555555555555556,1.0,0.1111111111111111,0.2,0.24253562503633297
