criterion,max_depth,min_samples_split,min_samples_leaf,precision,recall,accuracy,f1
entropy,10,5,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,10,5,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,30,2,1,0.9,0.9,0.8947368421052632,0.9
entropy,30,2,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,30,2,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,30,5,1,0.9,0.9,0.8947368421052632,0.9
entropy,30,5,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,30,5,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,30,2,2,0.9,0.9,0.8947368421052632,0.9
entropy,30,2,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,30,2,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,30,5,2,0.9,0.9,0.8947368421052632,0.9
entropy,30,5,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,30,5,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,50,2,1,0.9,0.9,0.8947368421052632,0.9
entropy,50,2,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,50,2,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,50,5,1,0.9,0.9,0.8947368421052632,0.9
entropy,50,5,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,50,5,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,50,2,2,0.9,0.9,0.8947368421052632,0.9
entropy,50,2,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,50,2,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,50,5,2,0.9,0.9,0.8947368421052632,0.9
entropy,50,5,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,50,5,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,100,2,1,0.9,0.9,0.8947368421052632,0.9
entropy,100,2,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,100,2,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,100,5,1,0.9,0.9,0.8947368421052632,0.9
entropy,100,5,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,100,5,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,100,2,2,0.9,0.9,0.8947368421052632,0.9
entropy,100,2,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,100,2,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,100,5,2,0.9,0.9,0.8947368421052632,0.9
entropy,100,5,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,100,5,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,300,2,1,0.9,0.9,0.8947368421052632,0.9
entropy,300,2,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,300,2,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,300,5,1,0.9,0.9,0.8947368421052632,0.9
entropy,300,5,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,300,5,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,300,2,2,0.9,0.9,0.8947368421052632,0.9
entropy,300,2,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,300,2,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,300,5,2,0.9,0.9,0.8947368421052632,0.9
entropy,300,5,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,300,5,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,500,2,1,0.9,0.9,0.8947368421052632,0.9
entropy,500,2,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,500,2,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,500,5,1,0.9,0.9,0.8947368421052632,0.9
entropy,500,5,1,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,500,5,1,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,500,2,2,0.9,0.9,0.8947368421052632,0.9
entropy,500,2,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,500,2,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
entropy,500,5,2,0.9,0.9,0.8947368421052632,0.9
entropy,500,5,2,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
entropy,500,5,2,0.8181818181818182,0.9,0.8421052631578947,0.8571428571428571
