n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
10,entropy,10.0,2,2,0.7000000000000001,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,10.0,2,2,0.8,0.8561581920903955,0.00964886737281072,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103323,0.12396463866126532,0.1697455723193801
10,entropy,10.0,2,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,entropy,10.0,5,1,0.1,0.5854237288135593,0.034179973842780154,0.2580152717652718,0.014572971434167754,0.9333333333333333,0.09938079899999067,0.40359131383521624,0.022512932773181508,0.32995624494317993,0.04992820765976105
10,entropy,10.0,5,1,0.2,0.7624858757062147,0.06627933781225141,0.38265480895915677,0.09199454262133304,0.8444444444444444,0.12668615834434868,0.52279651352232,0.09768750988898749,0.4529951628382303,0.12768765581583366
10,entropy,10.0,5,1,0.30000000000000004,0.8662146892655367,0.037281500864967176,0.5809523809523809,0.15599326981237804,0.5555555555555556,0.13608276348795434,0.5560224089635855,0.10160579382137852,0.48600394570140626,0.1265692086725694
10,entropy,10.0,5,1,0.4,0.8728813559322035,0.053569258774527305,0.6571428571428571,0.2789882920844196,0.37777777777777777,0.16850834320114558,0.47285714285714286,0.20633119579519874,0.430293940269524,0.24066604592199614
10,entropy,10.0,5,1,0.5,0.8728248587570622,0.04052239948514691,0.6599999999999999,0.29025850547399984,0.28888888888888886,0.16850834320114555,0.3968031968031968,0.21662709543302755,0.37800513892102644,0.24063519884814205
10,entropy,10.0,5,1,0.6,0.8728813559322035,0.019226686809023313,0.8333333333333333,0.23570226039551587,0.2,0.09296222517045283,0.3157575757575758,0.1302748383878793,0.36232531301939747,0.13816608657589796
10,entropy,10.0,5,1,0.7000000000000001,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,10.0,5,1,0.8,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,10.0,5,1,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,entropy,10.0,5,2,0.1,0.5789265536723164,0.06394971132239974,0.2573900660742766,0.025801690493834652,0.9333333333333333,0.09938079899999067,0.4017039697890762,0.027767726919871828,0.3270864453027823,0.0450869800490515
10,entropy,10.0,5,2,0.2,0.7826553672316384,0.07150481446373735,0.41323285836073553,0.10057627227930478,0.8666666666666666,0.0929622251704528,0.5545160549096082,0.09646230949516586,0.4923249053578852,0.11868390405981225
10,entropy,10.0,5,2,0.30000000000000004,0.862824858757062,0.05208345542454328,0.5817016317016317,0.200193443486986,0.5333333333333333,0.1448711645600588,0.5436007130124777,0.14381092261792047,0.4728950011777938,0.1730594773088431
10,entropy,10.0,5,2,0.4,0.8761581920903956,0.048381262825745584,0.6892857142857143,0.29222492734752337,0.37777777777777777,0.16850834320114558,0.47288593759181996,0.21120019052569725,0.4422096774797198,0.2345186062196556
10,entropy,10.0,5,2,0.5,0.8561581920903955,0.03849661713017103,0.64,0.3507135583350036,0.2,0.09296222517045283,0.29920079920079923,0.14384573721932653,0.2946739749726664,0.20165699133583015
10,entropy,10.0,5,2,0.6,0.85954802259887,0.01883081443489027,0.8,0.29814239699997197,0.13333333333333333,0.09296222517045283,0.21272727272727274,0.14565012104152988,0.2402560698011687,0.1779334038823854
10,entropy,10.0,5,2,0.7000000000000001,0.8628813559322033,0.007267082982082104,1.0,0.0,0.08888888888888888,0.049690399499995326,0.16,0.08944271909999159,0.24784540405091526,0.13854991184367327
10,entropy,10.0,5,2,0.8,0.8528248587570622,0.007815726176416373,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.1385966794263939
10,entropy,10.0,5,2,0.9,0.8494915254237287,0.0011369837173727689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,entropy,30.0,2,1,0.1,0.512090395480226,0.06746487814609836,0.22913041411115867,0.019354264632075735,0.9333333333333333,0.09938079899999067,0.36645862884160757,0.019603443567205628,0.27739820042941454,0.03513252656393053
10,entropy,30.0,2,1,0.2,0.7294350282485876,0.0836333295911792,0.35260935143288086,0.08725548207255815,0.8222222222222222,0.09938079899999067,0.48721611721611724,0.08338266864697606,0.40708728277942974,0.1065106165077382
10,entropy,30.0,2,1,0.30000000000000004,0.8561581920903955,0.02546872979034576,0.5277777777777778,0.09160351359911749,0.4444444444444445,0.13608276348795434,0.4746103569632981,0.11779521681214666,0.3993940268735078,0.11707810896504085
10,entropy,30.0,2,1,0.4,0.8561581920903955,0.02546872979034576,0.5277777777777778,0.09160351359911749,0.4444444444444445,0.13608276348795434,0.4746103569632981,0.11779521681214666,0.3993940268735078,0.11707810896504085
10,entropy,30.0,2,1,0.5,0.8627683615819208,0.028177452808147912,0.51,0.31701734968294715,0.26666666666666666,0.16850834320114555,0.34813186813186814,0.21693543503326257,0.3061881954974516,0.23057379550124868
