n_neighbors,weights,algorithm,leaf_size,p,fold,threshold,accuracy,precision,recall,f1
3,uniform,auto,30,2,5,0.9,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,auto,50,1,1,0.1,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,auto,50,1,1,0.2,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,auto,50,1,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,auto,50,1,1,0.4,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,1,0.5,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,1,0.6,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,1,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,1,0.8,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,1,0.9,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,2,0.1,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,auto,50,1,2,0.2,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,auto,50,1,2,0.30000000000000004,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,auto,50,1,2,0.4,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,2,0.5,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,2,0.6,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,2,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,2,0.8,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,2,0.9,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,3,0.1,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,auto,50,1,3,0.2,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,auto,50,1,3,0.30000000000000004,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,auto,50,1,3,0.4,0.9,1.0,0.3333333333333333,0.5
3,uniform,auto,50,1,3,0.5,0.9,1.0,0.3333333333333333,0.5
3,uniform,auto,50,1,3,0.6,0.9,1.0,0.3333333333333333,0.5
3,uniform,auto,50,1,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,1,3,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,1,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,1,4,0.1,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
3,uniform,auto,50,1,4,0.2,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
3,uniform,auto,50,1,4,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
3,uniform,auto,50,1,4,0.4,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,4,0.5,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,4,0.6,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,4,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,4,0.8,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,4,0.9,0.85,1.0,0.0,0.0
3,uniform,auto,50,1,5,0.1,0.864406779661017,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,auto,50,1,5,0.2,0.864406779661017,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,auto,50,1,5,0.30000000000000004,0.864406779661017,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,auto,50,1,5,0.4,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,auto,50,1,5,0.5,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,auto,50,1,5,0.6,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,auto,50,1,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0
3,uniform,auto,50,1,5,0.8,0.847457627118644,1.0,0.0,0.0
3,uniform,auto,50,1,5,0.9,0.847457627118644,1.0,0.0,0.0
3,uniform,auto,50,2,1,0.1,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222
3,uniform,auto,50,2,1,0.2,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222
3,uniform,auto,50,2,1,0.30000000000000004,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222
3,uniform,auto,50,2,1,0.4,0.8,0.0,0.0,0.0
3,uniform,auto,50,2,1,0.5,0.8,0.0,0.0,0.0
3,uniform,auto,50,2,1,0.6,0.8,0.0,0.0,0.0
3,uniform,auto,50,2,1,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,auto,50,2,1,0.8,0.85,1.0,0.0,0.0
3,uniform,auto,50,2,1,0.9,0.85,1.0,0.0,0.0
3,uniform,auto,50,2,2,0.1,0.75,0.3125,0.5555555555555556,0.4
3,uniform,auto,50,2,2,0.2,0.75,0.3125,0.5555555555555556,0.4
3,uniform,auto,50,2,2,0.30000000000000004,0.75,0.3125,0.5555555555555556,0.4
3,uniform,auto,50,2,2,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,50,2,2,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,50,2,2,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,50,2,2,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,2,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,2,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,3,0.1,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619
3,uniform,auto,50,2,3,0.2,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619
3,uniform,auto,50,2,3,0.30000000000000004,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619
3,uniform,auto,50,2,3,0.4,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,auto,50,2,3,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,auto,50,2,3,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,auto,50,2,3,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,50,2,3,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,50,2,3,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,50,2,4,0.1,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421
3,uniform,auto,50,2,4,0.2,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421
3,uniform,auto,50,2,4,0.30000000000000004,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421
3,uniform,auto,50,2,4,0.4,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154
3,uniform,auto,50,2,4,0.5,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154
3,uniform,auto,50,2,4,0.6,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154
3,uniform,auto,50,2,4,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,4,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,4,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,5,0.1,0.7457627118644068,0.2,0.2222222222222222,0.21052631578947367
3,uniform,auto,50,2,5,0.2,0.7457627118644068,0.2,0.2222222222222222,0.21052631578947367
3,uniform,auto,50,2,5,0.30000000000000004,0.7457627118644068,0.2,0.2222222222222222,0.21052631578947367
3,uniform,auto,50,2,5,0.4,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077
3,uniform,auto,50,2,5,0.5,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077
3,uniform,auto,50,2,5,0.6,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077
3,uniform,auto,50,2,5,0.7000000000000001,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,5,0.8,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,auto,50,2,5,0.9,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,1,1,0.1,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,ball_tree,30,1,1,0.2,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,ball_tree,30,1,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,ball_tree,30,1,1,0.4,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,1,0.5,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,1,0.6,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,1,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,1,0.8,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,1,0.9,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,2,0.1,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,ball_tree,30,1,2,0.2,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,ball_tree,30,1,2,0.30000000000000004,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,ball_tree,30,1,2,0.4,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,2,0.5,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,2,0.6,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,2,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,2,0.8,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,2,0.9,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,3,0.1,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,ball_tree,30,1,3,0.2,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,ball_tree,30,1,3,0.30000000000000004,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,ball_tree,30,1,3,0.4,0.9,1.0,0.3333333333333333,0.5
3,uniform,ball_tree,30,1,3,0.5,0.9,1.0,0.3333333333333333,0.5
3,uniform,ball_tree,30,1,3,0.6,0.9,1.0,0.3333333333333333,0.5
3,uniform,ball_tree,30,1,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,1,3,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,1,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,1,4,0.1,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
3,uniform,ball_tree,30,1,4,0.2,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
3,uniform,ball_tree,30,1,4,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
3,uniform,ball_tree,30,1,4,0.4,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,4,0.5,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,4,0.6,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,4,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,4,0.8,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,4,0.9,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,1,5,0.1,0.864406779661017,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,ball_tree,30,1,5,0.2,0.864406779661017,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,ball_tree,30,1,5,0.30000000000000004,0.864406779661017,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,ball_tree,30,1,5,0.4,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,1,5,0.5,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,1,5,0.6,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,1,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0
3,uniform,ball_tree,30,1,5,0.8,0.847457627118644,1.0,0.0,0.0
3,uniform,ball_tree,30,1,5,0.9,0.847457627118644,1.0,0.0,0.0
3,uniform,ball_tree,30,2,1,0.1,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222
3,uniform,ball_tree,30,2,1,0.2,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222
3,uniform,ball_tree,30,2,1,0.30000000000000004,0.7666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222
3,uniform,ball_tree,30,2,1,0.4,0.8,0.0,0.0,0.0
3,uniform,ball_tree,30,2,1,0.5,0.8,0.0,0.0,0.0
3,uniform,ball_tree,30,2,1,0.6,0.8,0.0,0.0,0.0
3,uniform,ball_tree,30,2,1,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,2,1,0.8,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,2,1,0.9,0.85,1.0,0.0,0.0
3,uniform,ball_tree,30,2,2,0.1,0.75,0.3125,0.5555555555555556,0.4
3,uniform,ball_tree,30,2,2,0.2,0.75,0.3125,0.5555555555555556,0.4
3,uniform,ball_tree,30,2,2,0.30000000000000004,0.75,0.3125,0.5555555555555556,0.4
3,uniform,ball_tree,30,2,2,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,ball_tree,30,2,2,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,ball_tree,30,2,2,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,ball_tree,30,2,2,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,2,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,2,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,3,0.1,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619
3,uniform,ball_tree,30,2,3,0.2,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619
3,uniform,ball_tree,30,2,3,0.30000000000000004,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619
3,uniform,ball_tree,30,2,3,0.4,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,ball_tree,30,2,3,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,ball_tree,30,2,3,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,uniform,ball_tree,30,2,3,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,ball_tree,30,2,3,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,ball_tree,30,2,3,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365
3,uniform,ball_tree,30,2,4,0.1,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421
3,uniform,ball_tree,30,2,4,0.2,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421
3,uniform,ball_tree,30,2,4,0.30000000000000004,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421
3,uniform,ball_tree,30,2,4,0.4,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154
3,uniform,ball_tree,30,2,4,0.5,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154
3,uniform,ball_tree,30,2,4,0.6,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154
3,uniform,ball_tree,30,2,4,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,4,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,4,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,5,0.1,0.7457627118644068,0.2,0.2222222222222222,0.21052631578947367
3,uniform,ball_tree,30,2,5,0.2,0.7457627118644068,0.2,0.2222222222222222,0.21052631578947367
3,uniform,ball_tree,30,2,5,0.30000000000000004,0.7457627118644068,0.2,0.2222222222222222,0.21052631578947367
3,uniform,ball_tree,30,2,5,0.4,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077
3,uniform,ball_tree,30,2,5,0.5,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077
3,uniform,ball_tree,30,2,5,0.6,0.847457627118644,0.5,0.2222222222222222,0.3076923076923077
3,uniform,ball_tree,30,2,5,0.7000000000000001,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,5,0.8,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,30,2,5,0.9,0.864406779661017,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,50,1,1,0.1,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,ball_tree,50,1,1,0.2,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,ball_tree,50,1,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
3,uniform,ball_tree,50,1,1,0.4,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,1,0.5,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,1,0.6,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,1,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,1,0.8,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,1,0.9,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,2,0.1,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,ball_tree,50,1,2,0.2,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,ball_tree,50,1,2,0.30000000000000004,0.8333333333333334,0.4,0.2222222222222222,0.2857142857142857
3,uniform,ball_tree,50,1,2,0.4,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,2,0.5,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,2,0.6,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,2,0.7000000000000001,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,2,0.8,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,2,0.9,0.85,1.0,0.0,0.0
3,uniform,ball_tree,50,1,3,0.1,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,ball_tree,50,1,3,0.2,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,ball_tree,50,1,3,0.30000000000000004,0.9,0.6363636363636364,0.7777777777777778,0.7
3,uniform,ball_tree,50,1,3,0.4,0.9,1.0,0.3333333333333333,0.5
3,uniform,ball_tree,50,1,3,0.5,0.9,1.0,0.3333333333333333,0.5
3,uniform,ball_tree,50,1,3,0.6,0.9,1.0,0.3333333333333333,0.5
3,uniform,ball_tree,50,1,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,50,1,3,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,50,1,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
3,uniform,ball_tree,50,1,4,0.1,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
3,uniform,ball_tree,50,1,4,0.2,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
