n_neighbors,weights,metric,accuracy,precision,recall,f1
3,uniform,euclidean,0.806026936026936,0.4001610305958132,0.5777777777777778,0.471148734306629
3,distance,euclidean,0.8394949494949495,0.47460317460317464,0.5777777777777778,0.5170041963145412
5,uniform,euclidean,0.7624579124579124,0.3391335101679929,0.6000000000000001,0.4330007390983
5,distance,euclidean,0.805993265993266,0.4033867276887872,0.6000000000000001,0.4811145510835913
7,uniform,euclidean,0.7658922558922558,0.34245907349355625,0.6222222222222222,0.4399308399308399
7,distance,euclidean,0.8093602693602694,0.4074074074074074,0.6222222222222222,0.4895483919874164
9,uniform,euclidean,0.7491919191919192,0.3228874474053296,0.6222222222222222,0.42314620964993427
9,distance,euclidean,0.7994276094276094,0.39936067019400356,0.6222222222222222,0.47907214898962835
11,uniform,euclidean,0.7291582491582491,0.3058278867102397,0.6444444444444445,0.4120417397728322
11,distance,euclidean,0.7793265993265993,0.3653665413533835,0.6444444444444445,0.4611869488022819
15,uniform,euclidean,0.7358585858585859,0.3265954741927282,0.7333333333333334,0.44682285728296983
15,distance,euclidean,0.7793602693602694,0.3782927312339077,0.7111111111111111,0.4849515563801279
20,uniform,euclidean,0.7526599326599327,0.35103524577208783,0.7333333333333334,0.4644153957879447
20,distance,euclidean,0.7727609427609426,0.38599275967697017,0.7555555555555555,0.49847150752811126
3,uniform,cosine,0.7861616161616162,0.39044289044289043,0.688888888888889,0.49494616567787303
3,distance,cosine,0.822962962962963,0.4506172839506173,0.6444444444444444,0.5264550264550265
5,uniform,cosine,0.7126599326599328,0.31978730936228933,0.7555555555555555,0.446628084559119
5,distance,cosine,0.7862962962962964,0.4113575268817204,0.7111111111111111,0.5150345799744505
7,uniform,cosine,0.6857575757575759,0.2874302874302874,0.7333333333333334,0.412598237675637
7,distance,cosine,0.7795286195286195,0.38849637681159416,0.7111111111111111,0.4998880179171333
9,uniform,cosine,0.678989898989899,0.28996442154336893,0.7777777777777777,0.422106148361345
9,distance,cosine,0.765993265993266,0.3639846743295019,0.7333333333333334,0.4861111111111111
11,uniform,cosine,0.6422558922558923,0.26762900282064045,0.7777777777777777,0.39779135338345867
11,distance,cosine,0.7526262626262626,0.3519904931669638,0.7555555555555555,0.4799319727891156
15,uniform,cosine,0.6456565656565657,0.2698656898656899,0.7777777777777777,0.3998800419853052
15,distance,cosine,0.7492929292929293,0.35364455364455366,0.7777777777777777,0.4854700854700855
20,uniform,cosine,0.6856565656565655,0.2907657657657658,0.7555555555555555,0.41981351981351983
20,distance,cosine,0.7525252525252526,0.3537774053903086,0.7777777777777778,0.4860869565217391
