C,kernel,accuracy,precision,recall,f1,preparationTime
0.01,linear,0.7222222222222222,0.7620634920634921,0.6577777777777777,0.7020897832817339,0.0016995797872340894
0.01,rbf,0.5011695906432749,0.3894736842105263,0.4444444444444445,0.32987012987012987,0.0016995797872340894
0.01,poly,0.47894736842105257,0.08888888888888888,0.17777777777777776,0.11851851851851851,0.0016995797872340894
0.01,sigmoid,0.5011695906432749,0.33947368421052626,0.4666666666666667,0.34945054945054943,0.0016995797872340894
0.1,linear,0.7222222222222222,0.7620634920634921,0.6577777777777777,0.7020897832817339,0.0016995797872340894
0.1,rbf,0.5011695906432749,0.3894736842105263,0.4444444444444445,0.32987012987012987,0.0016995797872340894
0.1,poly,0.47894736842105257,0.08888888888888888,0.17777777777777776,0.11851851851851851,0.0016995797872340894
0.1,sigmoid,0.5011695906432749,0.33947368421052626,0.4666666666666667,0.34945054945054943,0.0016995797872340894
1.0,linear,0.7222222222222222,0.7620634920634921,0.6577777777777777,0.7020897832817339,0.0016995797872340894
1.0,rbf,0.6064327485380117,0.75,0.31777777777777777,0.44102564102564107,0.0016995797872340894
1.0,poly,0.5105263157894736,0.5,0.06222222222222222,0.10969696969696971,0.0016995797872340894
1.0,sigmoid,0.6590643274853801,0.7880952380952382,0.4022222222222222,0.517957042957043,0.0016995797872340894
10.0,linear,0.7222222222222222,0.7620634920634921,0.6577777777777777,0.7020897832817339,0.0016995797872340894
10.0,rbf,0.7444444444444445,0.8317460317460318,0.6133333333333333,0.7037409700722393,0.0016995797872340894
10.0,poly,0.5111111111111111,0.5666666666666667,0.08666666666666666,0.14666666666666667,0.0016995797872340894
10.0,sigmoid,0.5730994152046783,0.5783333333333334,0.5488888888888889,0.5627932576539388,0.0016995797872340894
100.0,linear,0.7222222222222222,0.7620634920634921,0.6577777777777777,0.7020897832817339,0.0016995797872340894
100.0,rbf,0.7228070175438596,0.7534632034632034,0.6822222222222222,0.7099346405228758,0.0016995797872340894
100.0,poly,0.5964912280701754,0.8166666666666668,0.2533333333333333,0.38408258408258406,0.0016995797872340894
100.0,sigmoid,0.5736842105263158,0.5805555555555555,0.571111111111111,0.5744891640866873,0.0016995797872340894
