C,kernel,accuracy,precision,recall,f1,preparationTime
0.1,linear,0.7231182795698925,0.8085470085470087,0.5958333333333333,0.683150183150183,0.0009998878510506326
0.1,rbf,0.5621639784946236,0.43401759530791795,0.5208333333333334,0.4396135265700483,0.0009998878510506326
0.1,poly,0.521505376344086,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.0009998878510506326
0.1,sigmoid,0.4996639784946237,0.3367289190718732,0.5416666666666666,0.4078674948240166,0.0009998878510506326
1.0,linear,0.7231182795698925,0.8085470085470087,0.5958333333333333,0.683150183150183,0.0009998878510506326
1.0,rbf,0.585013440860215,0.6765010351966874,0.44166666666666665,0.47241291634884314,0.0009998878510506326
1.0,poly,0.5,0.3333333333333333,0.0625,0.1037037037037037,0.0009998878510506326
1.0,sigmoid,0.5843413978494624,0.7555555555555555,0.31527777777777777,0.3887232312279751,0.0009998878510506326
10.0,linear,0.7231182795698925,0.8085470085470087,0.5958333333333333,0.683150183150183,0.0009998878510506326
10.0,rbf,0.7234543010752689,0.7597696421225834,0.6569444444444444,0.7004260107708383,0.0009998878510506326
10.0,poly,0.5423387096774194,0.7833333333333333,0.14722222222222223,0.23690476190476187,0.0009998878510506326
10.0,sigmoid,0.532258064516129,0.5454545454545454,0.5125000000000001,0.521324354657688,0.0009998878510506326
